IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:33.000000
IntervalTime:13.000000, sinkNodeId:27, sId:1, startTime:20.000000, arriveTime:33.000000
IntervalTime:11.000000, sinkNodeId:27, sId:2, startTime:22.000000, arriveTime:33.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:19.000000, arriveTime:33.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:28.000000, arriveTime:34.000000
IntervalTime:24.000000, sinkNodeId:27, sId:2, startTime:10.000000, arriveTime:34.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:12.000000, arriveTime:34.000000
IntervalTime:14.000000, sinkNodeId:27, sId:2, startTime:20.000000, arriveTime:34.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:29.000000, arriveTime:35.000000
IntervalTime:23.000000, sinkNodeId:27, sId:2, startTime:12.000000, arriveTime:35.000000
IntervalTime:14.000000, sinkNodeId:27, sId:1, startTime:21.000000, arriveTime:35.000000
IntervalTime:12.000000, sinkNodeId:27, sId:1, startTime:23.000000, arriveTime:35.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:22.000000, arriveTime:35.000000
IntervalTime:13.000000, sinkNodeId:27, sId:2, startTime:22.000000, arriveTime:35.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:35.000000, arriveTime:36.000000
IntervalTime:21.000000, sinkNodeId:27, sId:2, startTime:15.000000, arriveTime:36.000000
IntervalTime:23.000000, sinkNodeId:27, sId:2, startTime:13.000000, arriveTime:36.000000
IntervalTime:26.000000, sinkNodeId:27, sId:2, startTime:10.000000, arriveTime:36.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:14.000000, arriveTime:36.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:30.000000, arriveTime:37.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:15.000000, arriveTime:37.000000
IntervalTime:23.000000, sinkNodeId:27, sId:2, startTime:14.000000, arriveTime:37.000000
IntervalTime:21.000000, sinkNodeId:27, sId:1, startTime:16.000000, arriveTime:37.000000
IntervalTime:8.000000, sinkNodeId:27, sId:1, startTime:30.000000, arriveTime:38.000000
IntervalTime:23.000000, sinkNodeId:27, sId:2, startTime:15.000000, arriveTime:38.000000
IntervalTime:11.000000, sinkNodeId:27, sId:2, startTime:27.000000, arriveTime:38.000000
IntervalTime:22.000000, sinkNodeId:27, sId:2, startTime:16.000000, arriveTime:38.000000
