time:67.000000, sinkNodeId:27, sId:2, number:1
time:67.000000, sinkNodeId:27, sId:1, number:1
time:67.000000, sinkNodeId:27, sId:1, number:1
time:67.000000, sinkNodeId:27, sId:1, number:1
time:68.000000, sinkNodeId:27, sId:1, number:5
time:68.000000, sinkNodeId:27, sId:2, number:1
time:68.000000, sinkNodeId:27, sId:2, number:1
time:68.000000, sinkNodeId:27, sId:1, number:1
time:68.000000, sinkNodeId:27, sId:1, number:1
time:68.000000, sinkNodeId:27, sId:1, number:1
time:69.000000, sinkNodeId:27, sId:1, number:5
time:69.000000, sinkNodeId:27, sId:2, number:1
time:69.000000, sinkNodeId:27, sId:2, number:1
time:69.000000, sinkNodeId:27, sId:1, number:1
time:69.000000, sinkNodeId:27, sId:1, number:1
time:69.000000, sinkNodeId:27, sId:1, number:1
time:70.000000, sinkNodeId:27, sId:1, number:5
time:70.000000, sinkNodeId:27, sId:2, number:1
time:70.000000, sinkNodeId:27, sId:2, number:1
time:70.000000, sinkNodeId:27, sId:1, number:1
time:70.000000, sinkNodeId:27, sId:2, number:1
time:70.000000, sinkNodeId:27, sId:1, number:1
time:71.000000, sinkNodeId:27, sId:1, number:5
time:71.000000, sinkNodeId:27, sId:2, number:1
time:71.000000, sinkNodeId:27, sId:2, number:1
time:71.000000, sinkNodeId:27, sId:1, number:1
time:71.000000, sinkNodeId:27, sId:1, number:1
time:71.000000, sinkNodeId:27, sId:1, number:1
time:72.000000, sinkNodeId:27, sId:1, number:6
time:72.000000, sinkNodeId:27, sId:2, number:1
time:72.000000, sinkNodeId:27, sId:2, number:1
time:72.000000, sinkNodeId:27, sId:1, number:1
time:72.000000, sinkNodeId:27, sId:1, number:1
time:72.000000, sinkNodeId:27, sId:1, number:1
time:73.000000, sinkNodeId:27, sId:1, number:6
time:73.000000, sinkNodeId:27, sId:2, number:1
time:73.000000, sinkNodeId:27, sId:2, number:1
time:73.000000, sinkNodeId:27, sId:1, number:1
time:73.000000, sinkNodeId:27, sId:2, number:1
time:73.000000, sinkNodeId:27, sId:1, number:1
time:74.000000, sinkNodeId:27, sId:1, number:5
time:74.000000, sinkNodeId:27, sId:2, number:1
time:74.000000, sinkNodeId:27, sId:2, number:1
time:74.000000, sinkNodeId:27, sId:1, number:1
time:74.000000, sinkNodeId:27, sId:1, number:1
time:74.000000, sinkNodeId:27, sId:1, number:1
time:75.000000, sinkNodeId:27, sId:1, number:6
time:75.000000, sinkNodeId:27, sId:2, number:1
time:75.000000, sinkNodeId:27, sId:2, number:1
time:75.000000, sinkNodeId:27, sId:1, number:1
time:75.000000, sinkNodeId:27, sId:1, number:1
time:75.000000, sinkNodeId:27, sId:1, number:1
time:76.000000, sinkNodeId:27, sId:1, number:4
time:76.000000, sinkNodeId:27, sId:2, number:1
time:76.000000, sinkNodeId:27, sId:2, number:1
time:76.000000, sinkNodeId:27, sId:1, number:1
time:76.000000, sinkNodeId:27, sId:1, number:1
time:76.000000, sinkNodeId:27, sId:1, number:1
time:77.000000, sinkNodeId:27, sId:1, number:5
time:77.000000, sinkNodeId:27, sId:2, number:1
time:77.000000, sinkNodeId:27, sId:2, number:1
time:77.000000, sinkNodeId:27, sId:1, number:1
time:77.000000, sinkNodeId:27, sId:1, number:1
time:77.000000, sinkNodeId:27, sId:1, number:1
time:78.000000, sinkNodeId:27, sId:1, number:5
time:78.000000, sinkNodeId:27, sId:2, number:1
time:78.000000, sinkNodeId:27, sId:2, number:1
time:78.000000, sinkNodeId:27, sId:1, number:1
time:78.000000, sinkNodeId:27, sId:1, number:1
time:78.000000, sinkNodeId:27, sId:1, number:1
time:79.000000, sinkNodeId:27, sId:1, number:4
time:79.000000, sinkNodeId:27, sId:2, number:1
time:79.000000, sinkNodeId:27, sId:2, number:1
time:79.000000, sinkNodeId:27, sId:1, number:1
time:79.000000, sinkNodeId:27, sId:1, number:1
time:79.000000, sinkNodeId:27, sId:1, number:1
time:80.000000, sinkNodeId:27, sId:1, number:5
time:80.000000, sinkNodeId:27, sId:2, number:1
time:80.000000, sinkNodeId:27, sId:2, number:1
time:80.000000, sinkNodeId:27, sId:1, number:1
time:80.000000, sinkNodeId:27, sId:2, number:1
time:80.000000, sinkNodeId:27, sId:1, number:1
time:81.000000, sinkNodeId:27, sId:1, number:5
time:81.000000, sinkNodeId:27, sId:2, number:1
time:81.000000, sinkNodeId:27, sId:2, number:1
